"파워링크보고서(2024.12.01.~2024.12.31.),canofix-man:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수(네이버페이),전환매출액(네이버페이)
"파워링크",djcanofix.kr,1 전국,캐노피공사,PC,38,2,"2,404","4,807",7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노피공사,모바일,47,4,"2,398","9,592",2.9,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노피설치,PC,45,1,"1,727","1,727",6.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노피설치,모바일,41,2,"1,430","2,860",4.2,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노피시공,PC,22,0,0,0,3.6,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노피시공,모바일,18,0,0,0,1.8,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노픽스,PC,197,5,"1,912","9,559",3.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노픽스,모바일,436,10,"1,799","17,985",3.8,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노픽스설치,PC,1,0,0,0,4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노픽스시공,PC,66,0,0,0,4.9,0,0,0,0
"파워링크",djcanofix.kr,1 전국,캐노픽스시공,모바일,238,0,0,0,4.6,0,0,0,0
"파워링크",djcanofix.kr,1 전국,케노픽스,PC,23,1,"1,023","1,023",4.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,케노픽스,모바일,58,5,719,"3,597",3.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,테라스캐노피,PC,8,0,0,0,5.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,테라스캐노피,모바일,7,0,0,0,3.7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,투명렉산,PC,42,0,0,0,3.5,0,0,0,0
"파워링크",djcanofix.kr,1 전국,투명렉산,모바일,70,3,796,"2,387",2.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,투명폴리카보네이트,PC,9,0,0,0,5.2,0,0,0,0
"파워링크",djcanofix.kr,1 전국,투명폴리카보네이트,모바일,35,0,0,0,2.4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트,PC,"1,038",3,"4,444","13,332",7.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트,모바일,"1,992",34,"2,937","99,869",2.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트가격,PC,32,4,"1,447","5,786",5.7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트가격,모바일,67,2,"1,436","2,871",2.3,0,0,0,0
